Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
TSPAN6	7105	ENSG00000000003	ENSG00000000003.15	26	64	200	194	116	102,034940377818	3,95517429521783	0,518280495434679	7,63133926523832	2,3232737984523e-14	3,85086662445085e-13	ENSG00000000003.15	TSPAN6	Up
DPM1	8813	ENSG00000000419	ENSG00000000419.12	74	34	2408	2446	2295	171,17602585643	0,271241722694256	0,263610249530343	1,02894983475608	0,303503248675366	0,445433700165417	ENSG00000000419.12	DPM1	NC
SCYL3	57147	ENSG00000000457	ENSG00000000457.14	7	66	999	1174	996	107,810022035226	1,02129835443462	0,977299772389409	1,04502055898125	0,296013467703349	0,436458031949104	ENSG00000000457.14	SCYL3	NC
C1orf112	55732	ENSG00000000460	ENSG00000000460.17	27	0	650	654	541	41,9018953963387	0,167252881888663	1,29603157165368	0,129050005838403	0,897318080671631	0,942795762586322	ENSG00000000460.17	C1orf112	NC
FGR	2268	ENSG00000000938	ENSG00000000938.13	501	385	27872	25630	16474	1475,21426978362	-0,00369779206625367	0,229576207071672	-0,0161070352778293	0,987149000903803	0,993201161671267	ENSG00000000938.13	FGR	NC
CFH	3075	ENSG00000000971	ENSG00000000971.15	28	20	90	82	178	49,7363022350361	3,41639325992181	0,489068190001024	6,98551516898831	2,83812593611389e-12	3,80149728190507e-11	ENSG00000000971.15	CFH	Up
FUCA2	2519	ENSG00000001036	ENSG00000001036.14	36	36	7569	6585	6293	252,158015559326	-1,84367074707299	0,210745427279307	-8,74833096439867	2,16531413646467e-18	5,09856772242251e-17	ENSG00000001036.14	FUCA2	Down
GCLC	2729	ENSG00000001084	ENSG00000001084.13	16	42	2514	3534	2225	130,292950346738	-0,846443206973126	0,467672274358351	-1,80990675176212	0,0703102489320398	0,132381304216237	ENSG00000001084.13	GCLC	NC
NFYA	4800	ENSG00000001167	ENSG00000001167.14	60	102	3670	3414	3640	259,271396392509	0,28916333740446	0,285494372347423	1,01285126928027	0,311131207592835	0,454564695671923	ENSG00000001167.14	NFYA	NC
STPG1	90529	ENSG00000001460	ENSG00000001460.18	10	13	2108	1121	1346	59,7081089746458	-1,45026541023905	0,608638250697559	-2,38280359240798	0,0171813583989824	0,0418259362316072	ENSG00000001460.18	STPG1	Down
NIPAL3	57185	ENSG00000001461	ENSG00000001461.17	30	38	3038	2407	2368	134,36654591047	-0,539398768310616	0,250979690094875	-2,1491729793224	0,0316206903727507	0,0686995049654769	ENSG00000001461.17	NIPAL3	NC
LAS1L	81887	ENSG00000001497	ENSG00000001497.16	33	20	2705	2960	2845	124,611159389088	-1,03447409157721	0,256058994626075	-4,03998341510268	5,34549813100879e-05	0,000250255920776191	ENSG00000001497.16	LAS1L	Down
ENPP4	22875	ENSG00000001561	ENSG00000001561.7	50	70	20879	16124	14146	586,635999648113	-2,38286585666971	0,249435684066829	-9,55302712835304	1,25960893547279e-21	3,8193332714801e-20	ENSG00000001561.7	ENPP4	Down
CFTR	1080	ENSG00000001626	ENSG00000001626.15	7	34	2	12	4	37,6658104722425	7,45095739315421	0,95022752685904	7,84123505428559	4,46136419698945e-15	7,95936991758333e-14	ENSG00000001626.15	CFTR	Up
ANKIB1	54467	ENSG00000001629	ENSG00000001629.10	176	144	4644	5062	4624	446,201411944926	0,839095832513008	0,118883628185021	7,05812772812672	1,68760905981709e-12	2,30937107370768e-11	ENSG00000001629.10	ANKIB1	NC
RAD52	5893	ENSG00000002016	ENSG00000002016.18	38	18	650	545	472	75,2714623987188	1,49826348081857	0,362988298248725	4,12758066319796	3,6659985365266e-05	0,00017786422148104	ENSG00000002016.18	RAD52	Up
LAP3	51056	ENSG00000002549	ENSG00000002549.12	334	498	24848	25227	20146	1459,70550166154	-0,0584904913707764	0,264613063569413	-0,221041586465112	0,825060052416108	0,900362487656928	ENSG00000002549.12	LAP3	NC
HS3ST1	9957	ENSG00000002587	ENSG00000002587.10	28	29	63	44	44	53,5896120832028	4,86720237735945	0,419162421754942	11,611733601933	3,5925703510394e-31	2,04862274288183e-29	ENSG00000002587.10	HS3ST1	Up
LASP1	3927	ENSG00000002834	ENSG00000002834.18	201	238	22857	21343	20531	1032,91623267182	-0,857945495497333	0,150369602862951	-5,7055779835987	1,15948955560784e-08	1,01328075066899e-07	ENSG00000002834.18	LASP1	NC
SNX11	29916	ENSG00000002919	ENSG00000002919.14	43	22	3305	2609	2660	132,972043387953	-0,835055748425752	0,379015296594712	-2,20322439734851	0,0275789365439854	0,0615863693593642	ENSG00000002919.14	SNX11	NC
TMEM176A	55365	ENSG00000002933	ENSG00000002933.9	60	10	267	1277	552	80,5147263929315	1,29273264853712	0,8237467837924	1,56933255943724	0,116570469396779	0,201223056936884	ENSG00000002933.9	TMEM176A	NC
M6PR	4074	ENSG00000003056	ENSG00000003056.8	76	131	21858	21941	18392	772,586704805195	-1,88531789916578	0,284267974911758	-6,63218535169507	3,30752871007484e-11	3,95688660040005e-10	ENSG00000003056.8	M6PR	Down
ICA1	3382	ENSG00000003147	ENSG00000003147.19	12	10	349	274	228	34,5640232804162	1,17209962861576	0,473238551972181	2,47676277372403	0,0132579990085497	0,0336069405359983	ENSG00000003147.19	ICA1	Up
ALS2	57679	ENSG00000003393	ENSG00000003393.15	43	34	2102	2208	1663	141,262815745859	0,16129061075493	0,316378073185912	0,509803379010248	0,610189218172655	0,759616407806092	ENSG00000003393.15	ALS2	NC
CASP10	843	ENSG00000003400	ENSG00000003400.14	51	101	5351	5475	4859	282,114752220078	-0,436499641690869	0,394871441458763	-1,10542215987644	0,268976706060085	0,403818551746455	ENSG00000003400.14	CASP10	NC
CFLAR	8837	ENSG00000003402	ENSG00000003402.20	481	292	12777	12395	13134	1065,36747263719	0,620629256997295	0,206786538692087	3,00130395780469	0,00268826075691963	0,00829037867626715	ENSG00000003402.20	CFLAR	NC
TFPI	7035	ENSG00000003436	ENSG00000003436.16	24	4	30	17	8	24,6710632992985	5,23875244061162	0,908336462088677	5,76741401370739	8,04971319025334e-09	7,19666426883945e-08	ENSG00000003436.16	TFPI	Up
NDUFAF7	55471	ENSG00000003509	ENSG00000003509.16	30	6	1151	1174	1144	63,2372080572247	-0,367527405162634	0,550723731076897	-0,667353492183755	0,504546365491838	0,668355275454035	ENSG00000003509.16	NDUFAF7	NC
RBM5	10181	ENSG00000003756	ENSG00000003756.17	88	56	7330	7201	6805	331,18243215297	-0,917701631931657	0,235790645559546	-3,8920188277779	9,94135279790252e-05	0,000437142979033153	ENSG00000003756.17	RBM5	NC
SLC7A2	6542	ENSG00000003989	ENSG00000003989.17	12	14	164	100	52	24,8126542356593	2,63828936170247	0,606703828799813	4,34856224151669	1,37032929706966e-05	7,2062962887484e-05	ENSG00000003989.17	SLC7A2	Up
ARF5	381	ENSG00000004059	ENSG00000004059.11	15	8	3168	3237	3209	113,384473431846	-2,37465676647946	0,347223003670292	-6,83899609581839	7,9750058731261e-12	1,0126797180181e-10	ENSG00000004059.11	ARF5	Down
SARM1	23098	ENSG00000004139	ENSG00000004139.14	14	8	683	653	467	35,1929484454346	-0,0627900784563925	0,4002696234261	-0,156869456939905	0,875347731627048	0,930121863113794	ENSG00000004139.14	SARM1	NC
POLDIP2	26073	ENSG00000004142	ENSG00000004142.12	40	48	5102	4838	4699	218,530405418465	-1,06003653432123	0,181712643486951	-5,83358710753303	5,42482656115794e-09	4,96056662746803e-08	ENSG00000004142.12	POLDIP2	Down
PLXND1	23129	ENSG00000004399	ENSG00000004399.12	115	88	15592	25208	17820	742,392814248383	-1,80418137405889	0,285530415851462	-6,3187011747199	2,63770760423196e-10	2,85669713228104e-09	ENSG00000004399.12	PLXND1	Down
AK2	204	ENSG00000004455	ENSG00000004455.17	172	156	7909	8320	7624	526,169263284222	0,113779510552546	0,134132281091195	0,848263442826175	0,396291271961592	0,551707665110109	ENSG00000004455.17	AK2	NC
CD38	952	ENSG00000004468	ENSG00000004468.13	108	32	590	831	826	160,384094130957	2,33635987503931	0,506632980901091	4,61154319421505	3,99690580038246e-06	2,33620122068032e-05	ENSG00000004468.13	CD38	Up
FKBP4	2288	ENSG00000004478	ENSG00000004478.8	30	79	4527	4351	3929	238,717784441775	-0,384050537545061	0,526608366950984	-0,729290610722119	0,465823914475545	0,626834421770646	ENSG00000004478.8	FKBP4	NC
KDM1A	23028	ENSG00000004487	ENSG00000004487.16	33	117	6886	6443	7249	331,923039328958	-0,809697811397188	0,568358180185195	-1,42462594825917	0,154265355173651	0,254130008086065	ENSG00000004487.16	KDM1A	NC
RBM6	10180	ENSG00000004534	ENSG00000004534.15	148	72	11581	7530	7059	460,269503560728	-0,522688754484174	0,377903841844761	-1,38312633164203	0,166626133071999	0,270819430617815	ENSG00000004534.15	RBM6	NC
RECQL	5965	ENSG00000004700	ENSG00000004700.16	24	50	5258	5882	4618	217,579555947521	-1,3837923971707	0,364253763770324	-3,79897899433438	0,000145293404669192	0,000615107840405333	ENSG00000004700.16	RECQL	Down
VPS50	55610	ENSG00000004766	ENSG00000004766.17	83	85	4048	3915	3089	255,773261103384	0,251577233569571	0,224062621603666	1,1227987594226	0,26152297238288	0,394680299072458	ENSG00000004766.17	VPS50	NC
NDUFAB1	4706	ENSG00000004779	ENSG00000004779.10	155	129	2324	2311	2040	326,125894900864	1,75551769437865	0,113449835992215	15,4739553303463	5,20107302361721e-54	8,22151969571492e-52	ENSG00000004779.10	NDUFAB1	Up
PDK4	5166	ENSG00000004799	ENSG00000004799.8	364	186	7666	10619	14150	838,396516742012	0,424759294554625	0,356968192466662	1,18990796244204	0,234082568560849	0,360764718540478	ENSG00000004799.8	PDK4	NC
ZMYND10	51364	ENSG00000004838	ENSG00000004838.14	0	48	285	203	137	51,02735382326	2,59367984625904	1,55480680203936	1,66816857429299	0,0952822673878046	0,170102822147735	ENSG00000004838.14	ZMYND10	NC
SLC25A13	10165	ENSG00000004864	ENSG00000004864.13	24	38	2924	2646	2284	124,943223874897	-0,748278151206201	0,382172070477968	-1,9579613713539	0,0502345455787076	0,0998375021587369	ENSG00000004864.13	SLC25A13	NC
ST7	7982	ENSG00000004866	ENSG00000004866.20	16	35	3861	2728	3468	138,19262004458	-1,36250071623158	0,440885691849833	-3,0903718161388	0,00199906071721064	0,00638950450469735	ENSG00000004866.20	ST7	Down
CDC27	996	ENSG00000004897	ENSG00000004897.12	166	101	5678	5797	4866	391,703111079366	0,318880487246376	0,246885437763164	1,29161318762055	0,196491134740078	0,311470757605235	ENSG00000004897.12	CDC27	NC
HCCS	3052	ENSG00000004961	ENSG00000004961.15	10	19	2825	2898	2550	101,843511232769	-1,8917813220197	0,720301087741619	-2,62637576732121	0,00862994885376678	0,0231329975633763	ENSG00000004961.15	HCCS	Down
UPF1	5976	ENSG00000005007	ENSG00000005007.12	12	20	8630	7214	7123	238,163820413661	-3,18692357185224	0,337701305283269	-9,43710765103205	3,83211224736397e-21	1,12544739199222e-19	ENSG00000005007.12	UPF1	Down
SKAP2	8935	ENSG00000005020	ENSG00000005020.13	184	132	12449	13676	12065	673,234260060557	-0,558281215405602	0,166396477816803	-3,3551263988908	0,000793287288001174	0,00282212313709238	ENSG00000005020.13	SKAP2	NC
SLC25A5	292	ENSG00000005022	ENSG00000005022.6	190	333	13736	13933	12903	893,219523569549	0,0757272984944282	0,341799003467168	0,221555059336802	0,824660270431189	0,900121354812103	ENSG00000005022.6	SLC25A5	NC
MCUB	55013	ENSG00000005059	ENSG00000005059.16	80	72	2953	2818	2799	230,025245100424	0,506376452043981	0,15424850502165	3,28286132804274	0,00102759201028722	0,0035562094393359	ENSG00000005059.16	MCUB	NC
POLR2J	5439	ENSG00000005075	ENSG00000005075.15	76	7	1060	956	1096	107,775424732514	1,05757737097068	0,853293181183844	1,23940679978646	0,215194884520599	0,336308492833952	ENSG00000005075.15	POLR2J	NC
DHX33	56919	ENSG00000005100	ENSG00000005100.13	56	14	1873	1928	1417	109,265124600476	-0,0153664173557031	0,798645278336846	-0,0192406037730583	0,984649166463357	0,992006374931672	ENSG00000005100.13	DHX33	NC
LIG3	3980	ENSG00000005156	ENSG00000005156.12	10	24	1999	2089	1754	89,2760382712075	-1,08254672679222	0,306139307041908	-3,53612457430706	0,00040604317239327	0,00155239482840308	ENSG00000005156.12	LIG3	Down
RPAP3	79657	ENSG00000005175	ENSG00000005175.10	38	38	3281	3341	2831	169,987079439854	-0,581239916604138	0,240148091711055	-2,42033951826477	0,0155060219279736	0,0383688374087911	ENSG00000005175.10	RPAP3	NC
ACSM3	6296	ENSG00000005187	ENSG00000005187.12	6	40	2541	1954	4149	137,481027101507	-0,947494948945223	0,908969658219706	-1,04238347273436	0,297233925873513	0,437846713610304	ENSG00000005187.12	ACSM3	NC
