	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
DDX11L1	0	0	0	0	0
WASH7P	0.806508198559093	0.349230418388518	0.816120067584343	0.521199233179113	0.745839202821488
MIR6859-1	0	0	0.208030605462676	0.0814373801842364	0.0177580762576545
MIR1302-2HG	0	0	0.0160023542663597	0	0
MIR1302-2	0	0	0	0	0
FAM138A	0	0	0	0	0.0177580762576545
OR4G4P	0	0	0	0	0
OR4G11P	0	0	0	0	0
OR4F5	0	0	0	0	0
AL627309.1	0	0	0	0	0.0177580762576545
AL627309.3	0	0	0	0	0
CICP27	0	0	0.0160023542663597	0.0325749520736946	0
AL627309.6	0.806508198559093	0	0.432063565191711	1.10754837050562	0.568258440244944
AL627309.7	0	0	0.768113004785264	2.62228364193241	1.26082341429347
AL627309.2	0	0	0	0.0325749520736946	0
AL627309.5	0.806508198559093	0	0.288042376794474	1.4821603193531	0.443951906441362
RNU6-1100P	0	0	0	0	0
AL627309.4	0	0	0	0	0
FO538757.1	0	0	0.352051793859913	0.17916223640532	0.213096915091854
WASH9P	0	0.698460836777036	3.42450381300097	2.03593450460591	0.568258440244944
MIR6859-2	0	0	0.0160023542663597	0	0
AP006222.1	0.806508198559093	1.39692167355407	0.416061210925351	0.439761852994877	0.745839202821488
AP006222.2	0	0	0	0	0
RPL23AP24	0	0	0	0	0
AL732372.1	0	0	0	0	0
AL732372.2	2.01627049639773	0	0.768113004785264	1.56359769953734	0.87014573662507
WBP1LP7	0	0	0	0	0
OR4F29	0	0	0	0	0
CICP7	0	0	0	0	0
AL732372.3	0	0	0	0	0
U6	0	0	0	0	0
AL669831.3	0	1.39692167355407	0.112016479864518	0.0814373801842364	0.0887903812882724
AC114498.1	0	0	0	0	0
MTND1P23	30.244057445966	19.2076730113685	0.512075336523509	0.35832447281064	0.35516152515309
MTND2P28	319.377246629401	480.541055702601	88.3810026131044	1.66132255575842	89.9091400925047
MTCO1P12	192.352205356344	225.253619860594	43.8784553983582	44.1064851077825	47.8757735906365
AC114498.2	0	0	0	0	0
MTCO2P12	10.4846065812682	11.1753733884326	0.656096524920746	0.912098658063448	0.550500363987289
MTATP8P1	0	0.698460836777036	0.176025896929956	0.146587284331626	0.0887903812882724
MTATP6P1	2768.33939155409	2323.42997353881	305.436935882007	120.625047528891	117.611739054446
MTCO3P12	16.9366721697409	22.3507467768652	1.79226367783228	0.814373801842364	0.941178041655688
WBP1LP6	0	0	0	0	0
OR4F16	0	0	0	0	0
CICP3	0	0	0	0	0.035516152515309
AL669831.1	0	5.58768669421629	3.13646143620649	3.76240696451172	1.95338838834199
RNU6-1199P	0	0	0	0	0
AL669831.2	0	0	0	0	0
LINC01409	6.04881148919319	1.39692167355407	0.688101233453466	1.15641079861616	0.603774592760252
AL669831.6	0	0	0	0	0
AL669831.4	0.403254099279546	0.698460836777036	0.128018834130877	0.0651499041473892	0.124306533803581
FAM87B	0.806508198559093	0.698460836777036	0.224032959729035	0.407186900921182	0.230854991349508
LINC01128	14.5171475740637	5.58768669421629	11.9857633455034	14.4307037686467	10.1576196193784
LINC00115	0.403254099279546	0	0.640094170654387	0.570061661289655	0.852387660367415
FAM41C	0	0	0	0	0
TUBB8P11	0	0	0.0640094170654387	0	0
AL669831.5	0	0	0	0	0
AL645608.6	0	0	0	0.0162874760368473	0
AL645608.2	0	0	0.0320047085327193	0	0
AL645608.4	0	0	0	0	0
LINC02593	0	0	0	0.0325749520736946	0
SAMD11	0	0	0.0320047085327193	0	0
NOC2L	2.41952459567728	0	72.9867378088664	59.0258131575346	67.3563832452835
KLHL17	0	0.698460836777036	13.8260340861348	9.98422281058739	11.2763784236106
