	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
TSPAN6	0	0	0	0	0
TNMD	0.387663859316145	0.1741973668699	0.262471707878959	0.168579969910968	0.240205148684445
DPM1	0	0	0.0818153440028179	0.0322110650875865	0.00699378229096619
SCYL3	0	0	0.00110362342238292	0	0
C1orf112	0	0	0	0	0
FGR	0	0	0	0	0.00249600686729633
CFH	0	0	0	0	0
FUCA2	0	0	0	0	0
GCLC	0	0	0	0	0
NFYA	0	0	0	0	0.00221503417087279
STPG1	0	0	0	0	0
NIPAL3	0	0	0.000808454663288807	0.00165511943638642	0
LAS1L	0.102378217275117	0	0.0366968116727615	0.0946056674943192	0.0483320535348503
ENPP4	0	0	0.0785141086952107	0.269572766807727	0.129058174200889
SEMA3F	0	0	0	0.00322244140577844	0
CFTR	0.0612428402387488	0	0.0146347340568029	0.0757351333838219	0.0225877534656861
ANKIB1	0	0	0	0	0
CYP51A1	0	0	0	0	0
KRIT1	0	0	0.0269370213342611	0.0137867927520273	0.0163278437624685
RAD52	0	0.114197341105917	0.361002745609591	0.215849186990434	0.0599884182114764
MYH16	0	0	0.00120441414559404	0	0
BAD	0.335006941657278	0.602143591334831	0.115633630224123	0.122918782217723	0.207577751439251
LAP3	0	0	0	0	0
CD99	0	0	0	0	0
HS3ST1	0	0	0	0	0
AOC1	0.37407940399492	0	0.0953502930911502	0.195207140890629	0.108167695092734
WNT16	0	0	0	0	0
HECW1	0	0	0	0	0
MAD1L1	0	0	0	0	0
LASP1	0	0	0	0	0
SNX11	0	0	0	0	0
TMEM176A	0	0.295789834339917	0.0152929767367936	0.0111816955883569	0.0121390497917691
M6PR	0	0	0	0	0
KLHL13	3.07277597209632	2.02510987290541	0.0348102077216629	0.0244975690200708	0.0241772740231883
CYP26B1	45.1820488763409	70.54649479082	8.36570959318305	0.158150870077493	8.52229119145929
ICA1	27.947523600169	33.9626002882413	4.2655928987486	4.3122535350572	4.66071495538172
DBNDD1	0	0	0	0	0
ALS2	0.712635958283023	0.788243919524729	0.0298376931085195	0.0417170015596886	0.0250705453133821
CASP10	0	0.0676797350618512	0.0109974519845852	0.00921055014599769	0.00555507714214017
CFLAR	87.3725942846007	76.0971653861523	6.44999480361163	2.56182271171021	2.48712233090771
TFPI	1.02578359086249	1.40476182892251	0.0726292369661348	0.0331899910881995	0.0381935501908314
NDUFAF7	0	0	0	0	0
RBM5	0	0	0	0	0
MTMR7	0	0	0	0	0.00243692125438689
SLC7A2	0	0.520410501707725	0.188344470991433	0.22722308752753	0.117465461704185
ARF5	0	0	0	0	0
SARM1	0	0	0	0	0
POLDIP2	1.60728049536694	0.385191480898835	0.122336449700094	0.206770909723663	0.107494695751562
PLXND1	0	0	0	0	0
AK2	0.0297242522779548	0.053426558649345	0.00631375793559409	0.00323148098166998	0.00613926925468814
CD38	0.0834463841841374	0.0749935288026754	0.0155093131438913	0.0283496832147564	0.016004001447798
FKBP4	1.99485830221022	0.79679353399178	1.10199182106914	1.33436286758843	0.93521891706609
KDM1A	0.0525911632675212	0	0.0558547060019238	0.0500278104641578	0.07448378139879
RBM6	0	0	0	0	0
CAMKK1	0	0	0.00408784610050404	0	0
RECQL	0	0	0	0	0
VPS50	0	0	0	0.000813448175765602	0
HSPB6	0	0	0.008812343406336	0	0
ARHGAP33	0	0	0	0	0
NDUFAB1	0	0	0	0.0100461900673687	0
PDK4	0	0	0.00334341550011516	0	0
SLC22A16	0.439358988751444	0	8.86778876738401	7.21252163563031	8.19518591993068
ZMYND10	0	0.177996063343699	2.27177271514367	1.64989111517615	1.85543422222208
ABCB5	0	0.0555504620287291	0.0467738663634993	0.0386393595288534	0.0319166396113068
ARX	0	0	0	0	0
SLC25A13	0	0	0	0.00838355915055891	0.00910134256085843
