	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
Adipocytes	0	0	0	6e-04	0
Astrocytes	0	0	0	0	0
B-cells	0	0	0	0	0
Basophils	0.0024	0	0.092	0.1278	0.1865
CD4+ T-cells	0	0	0	0	0
CD4+ Tcm	0	0	4e-04	0	0
CD4+ Tem	0	0.0094	0	0	0
CD4+ memory T-cells	0	0	0	0	0
CD4+ naive T-cells	0	0	0.0033	0	0
CD8+ T-cells	0	0.012	0.0209	0.0233	0
CD8+ Tcm	0	0	0.0209	0	0
CD8+ Tem	0	0	0	0	0
CD8+ naive T-cells	0	0	0.0085	0	0
CLP	0.0047	0	0	0	0
CMP	0	0.0064	0.0478	0.0192	0.0093
Chondrocytes	0	0	0.0047	0	0
Class-switched memory B-cells	0	0.0015	0	8e-04	0
DC	0	0	0	0	0
Endothelial cells	0	0	0	0	0
Eosinophils	0	0	0	0	0
Epithelial cells	0.0114	0	0.0315	0.0228	0.0169
Erythrocytes	0	0	0	0	0
Fibroblasts	0	0.01	0.0666	0.1048	0.0369
GMP	0	0	0	0	0
HSC	0.0351	0	0.011	0	0.0694
Hepatocytes	0	0	0.003	0.0036	0
Keratinocytes	2e-04	0	0.0024	0.0014	0
MEP	0	0.0028	0	0.0032	0.0099
MPP	0	1e-04	0	0	0
MSC	0.0498	0	0.1599	0.0397	0.2154
Macrophages	0	0	0	0	0
Macrophages M1	0	0	0	0	0
Macrophages M2	0	0	0.0071	0.0031	0
Mast cells	0	0	0.0091	0.0038	1e-04
Megakaryocytes	0	0	0	0	0
Melanocytes	0	0	0.0021	0.0011	0.0019
Memory B-cells	0	1e-04	0	0	0
Mesangial cells	0	0	0	0	0
Monocytes	0	0	0	0	0
Myocytes	0	0.0015	0	0.0016	0.001
NK cells	0	0	0	0	0
NKT	0.0159	0.0238	0.0013	0	0
Neurons	3e-04	0	8e-04	0.0016	0.0028
Neutrophils	0	0	0	0	0
Osteoblast	0	0.0374	0.0788	0.1495	0.1033
Pericytes	0	0	0.005	0.0697	0
Plasma cells	0	0.001	0.0015	0	0.0012
Platelets	0	0	0	0	0
Preadipocytes	0	0	0.0279	0.0488	0.0435
Sebocytes	1e-04	0	0.0039	9e-04	0.0015
Skeletal muscle	0	0	0.0085	0.0231	0.0183
Smooth muscle	0	0.0346	0	0	0.0017
Tgd cells	0	0	0	0	0
Th1 cells	0	0.0041	0	0	0
Th2 cells	0	0	0.0414	0.0285	0.0258
Tregs	0	0	0	0	0
aDC	6e-04	0.0015	0	0	0
cDC	0.0038	0	0.0057	0.015	0.0251
iDC	0	0	0.0207	0.0273	0.0258
ly Endothelial cells	0	0	0	0	0
mv Endothelial cells	0	0	0	0	0
naive B-cells	0	0	0	0	0
pDC	0	0.0126	0	0	0
pro B-cells	0.0028	0	0.0079	0.0064	0.0061
ImmuneScore	0	0.008	0.02	0.0181	1e-04
StromaScore	0	0.005	0.0333	0.0527	0.0184
MicroenvironmentScore	0	0.013	0.0533	0.0708	0.0185
