	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
DDX11L1	0	0	0	0	0	0
WASH7P	29	24	23	34	19	44
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	112	119	113	127	84	270
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	19	21	36	16	23	54
OR4F29	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
LOC100288069	13	17	27	19	9	50
LINC00115	9	12	26	12	7	28
FAM41C	0	0	1	0	1	0
SAMD11	11	20	8	26	10	63
NOC2L	1773	1757	2554	1915	1605	5162
KLHL17	110	133	131	168	78	242
PLEKHN1	170	172	254	186	120	403
HES4	26	52	57	30	17	64
ISG15	45	52	51	82	45	211
AGRN	2887	3576	4140	3682	2053	6988
RNF223	7	4	9	6	4	4
C1orf159	47	76	77	83	34	120
MIR200B	0	0	0	0	0	0
MIR200A	0	1	3	3	1	3
MIR429	3	9	14	3	2	11
TTLL10	0	0	0	0	0	1
TNFRSF18	0	0	1	1	0	3
TNFRSF4	0	0	0	1	0	1
SDF4	1530	1572	1975	1840	1232	3914
B3GALT6	202	167	222	130	146	397
UBE2J2	275	273	418	277	230	637
SCNN1D	7	10	20	12	8	9
ACAP3	305	339	470	357	251	744
PUSL1	75	81	131	108	55	172
TAS1R3	8	1	4	0	0	1
DVL1	544	657	762	738	395	1358
MXRA8	18	21	12	27	17	28
AURKAIP1	401	397	630	517	358	1139
CCNL2	926	1115	1358	1049	866	2555
LOC148413	192	140	238	157	124	418
MRPL20	663	541	738	513	491	1799
ANKRD65	242	298	375	256	174	594
TMEM88B	0	0	0	0	0	1
VWA1	217	270	319	359	163	522
ATAD3C	11	9	20	12	11	46
ATAD3B	154	223	292	287	172	508
ATAD3A	170	202	284	274	181	569
TMEM240	1	1	0	0	1	0
SSU72	1078	886	1344	827	851	2692
MIB2	104	133	156	147	59	237
MMP23B	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0
CDK11B	229	227	256	243	210	695
SLC35E2B	376	375	497	357	304	889
CDK11A	97	82	125	113	98	295
NADK	388	334	555	396	319	976
GNB1	8479	6953	11155	7486	7295	20663
CALML6	4	6	7	10	4	12
TMEM52	0	6	1	4	2	10
GABRD	0	0	0	0	0	0
PRKCZ	638	552	894	579	478	1510
SKI	633	633	850	763	529	1669
MORN1	23	25	46	39	26	75
LOC100129534	28	16	24	20	12	46
RER1	1495	1370	2065	1319	1336	3642
PEX10	157	144	244	114	94	354
PLCH2	948	1118	1290	1204	852	2578
PANK4	242	239	329	301	232	664
HES5	2	2	2	0	3	2
TNFRSF14	80	104	105	75	57	154
FAM213B	379	297	519	353	268	953
MMEL1	1	2	0	1	4	3
TTC34	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
PRDM16	35	25	39	27	19	56
MIR4251	0	0	0	0	0	0
ARHGEF16	210	232	281	288	186	538
MEGF6	57	76	80	52	43	122
MIR551A	0	0	0	0	0	0
TPRG1L	689	629	1158	622	665	2019
