Symbols	EntrezID	EnsemblID	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS.CoV.2_1	Series1_NHBE_SARS.CoV.2_2	Series1_NHBE_SARS.CoV.2_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Tag
A1BG-AS1	503538	ENSG00000268895	23	34	33	28	18	68	31,653741345744	-0,0212228394927911	0,393276649120685	-0,0539641484950672	0,956963727956902	0,991664819195088	A1BG-AS1	NC
A2ML1	144568	ENSG00000166535	1487	1267	2156	1259	1280	5239	1822,02269025983	0,218652851272186	0,131210497331995	1,6664280352428	0,0956281907301778	0,494801033136272	A2ML1	NC
A4GALT	53947	ENSG00000128274	940	1020	1451	1066	762	2219	1174,38913719173	-0,0206103620701661	0,132240295301613	-0,15585538449652	0,876147013469074	0,971576915778281	A4GALT	NC
AAAS	8086	ENSG00000094914	432	438	543	443	369	1222	526,465956562615	0,164561357012082	0,135324766820742	1,21604759334311	0,223966792434749	0,679294021152522	AAAS	NC
AACS	65985	ENSG00000081760	494	451	766	457	490	1424	617,041502510463	0,145064865449333	0,114207590499793	1,27018585029684	0,204018436659427	0,654902504552552	AACS	NC
AADAT	51166	ENSG00000109576	64	66	75	50	49	178	72,4979755204218	0,0188377471507097	0,26678105641544	0,0706112622980807	0,943707146771107	0,988684029316126	AADAT	NC
AAGAB	79719	ENSG00000103591	1328	1215	2185	1025	1126	3229	1540,39155694865	-0,130492218215315	0,0997663839603974	-1,30797782815416	0,190880829648871	0,642680560013101	AAGAB	NC
AAK1	22848	ENSG00000115977	1023	1129	1944	798	860	2482	1261,2531010418	-0,295758640854912	0,11221641650588	-2,63560938821652	0,00839863504682857	0,143122762296594	AAK1	NC
AAMDC	28971	ENSG00000087884	148	123	217	89	102	327	152,050133411651	-0,276889401531869	0,190703767819331	-1,45193461407742	0,146519786858956	0,584763101446074	AAMDC	NC
AAMP	14	ENSG00000127837	1052	911	1611	1142	946	2786	1297,3671116103	0,164700768768302	0,107520701226632	1,53180519555156	0,125570513591989	0,54700461572066	AAMP	NC
AAR2	25980	ENSG00000131043	340	258	497	254	254	738	358,454687445378	-0,123197912114789	0,140222963291308	-0,878585855148773	0,379625867952114	0,800272633941747	AAR2	NC
AARS	NA	NA	1366	1110	1854	1110	1202	3298	1524,00233993142	0,0570437120380415	0,100890241292939	0,56540366349618	0,571799233316979	0,885612248516993	AARS	NC
AARS2	57505	ENSG00000124608	478	479	687	510	446	1179	592,245847989403	0,0994365954975491	0,126389299490236	0,786748529334408	0,431429089305935	0,820788410960417	AARS2	NC
AASDH	132949	ENSG00000157426	131	173	323	142	150	394	201,084421393416	-0,130541057782258	0,193488925561212	-0,674669402414764	0,49988582838539	0,854048744394691	AASDH	NC
AASDHPPT	60496	ENSG00000149313	316	305	636	265	209	691	370,413637660759	-0,395352196457001	0,155235945858684	-2,54678253976629	0,0108721160009377	0,165659004241002	AASDHPPT	NC
AASS	10157	ENSG00000008311	234	254	412	216	255	595	306,176902940595	-0,0229344394166243	0,153121618507544	-0,149779238491359	0,880938789846351	0,972262740299548	AASS	NC
AATF	26574	ENSG00000275700	986	748	1200	897	872	2620	1111,65104510262	0,241513233900347	0,112723449978592	2,14252876350231	0,0321509566287783	0,30660971913788	AATF	NC
AATK	9625	ENSG00000181409	10	6	21	11	7	29	12,2921082165078	0,0548889574230388	0,607163006413249	0,0904023414524043	0,927967496103899	NA	AATK	NC
ABAT	18	ENSG00000183044	515	343	606	362	375	1179	511,072484093573	0,0277806900829097	0,143174446147717	0,194033857510072	0,846149371209103	0,963051815527346	ABAT	NC
ABCA1	19	ENSG00000165029	898	761	1480	752	748	2220	1042,12249405383	-0,0615049021591485	0,108244569616376	-0,568203119815848	0,569897053291802	0,884929044179476	ABCA1	NC
ABCA10	10349	ENSG00000154263	20	30	41	27	28	69	33,3996117980477	0,169344077012893	0,373250107215657	0,453701348610863	0,650043796130988	0,909172399866518	ABCA10	NC
ABCA11P	79963	ENSG00000251595	21	23	27	19	19	115	30,0146765753263	0,542139181191831	0,428897567835999	1,26402950692211	0,206219436350849	0,658522873490473	ABCA11P	NC
ABCA12	26154	ENSG00000144452	652	701	1047	590	614	1855	829,097953048049	0,00813530118608483	0,109752409625819	0,0741241236873127	0,940911620133008	0,988304286130235	ABCA12	NC
ABCA13	154664	ENSG00000179869	37	48	46	27	27	75	41,4413691233395	-0,372503467102527	0,343829298732041	-1,08339652402	0,278632457878945	0,725738948583087	ABCA13	NC
ABCA2	20	ENSG00000107331	311	379	465	403	252	708	404,501443516425	-0,00557190051489362	0,183278359540396	-0,0304013006711005	0,975747007550986	0,994052575548072	ABCA2	NC
ABCA3	21	ENSG00000167972	25	11	15	23	11	36	19,6547543349506	0,173138034630753	0,527490189420007	0,328229866836242	0,742737867160258	0,936993952404751	ABCA3	NC
ABCA4	24	ENSG00000198691	3	11	15	7	7	26	10,0486477997415	0,0984808167363284	0,68748334078123	0,143248295477849	0,886094088815155	NA	ABCA4	NC
ABCA5	23461	ENSG00000154265	72	103	209	73	73	213	112,763474995053	-0,368051503151618	0,2456817524975	-1,49808237449529	0,134111849817783	0,563274682436878	ABCA5	NC
ABCA7	10347	ENSG00000064687	436	456	572	523	308	1112	530,306228439464	0,0874938434631457	0,166417828142726	0,525748018944867	0,599063295343428	0,8958385956029	ABCA7	NC
