	V1	V2	V3	V4	V5	V6
NAME	Case1	Case2	Case3	NegCtrl1	NegCtrl2	NegCtrl3
CLASS_CvsI	Infected	Infected	Infected	Control	Control	Control
	0	0	0	0	0	0
	34	19	44	29	24	23
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	127	84	270	112	119	113
	0	0	0	0	0	0
	0	0	0	0	0	0
	16	23	54	19	21	36
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	19	9	50	13	17	27
	12	7	28	9	12	26
	0	1	0	0	0	1
	26	10	63	11	20	8
	1915	1605	5162	1773	1757	2554
	168	78	242	110	133	131
	186	120	403	170	172	254
	30	17	64	26	52	57
	82	45	211	45	52	51
	3682	2053	6988	2887	3576	4140
	6	4	4	7	4	9
	83	34	120	47	76	77
	0	0	0	0	0	0
	3	1	3	0	1	3
	3	2	11	3	9	14
	0	0	1	0	0	0
	1	0	3	0	0	1
	1	0	1	0	0	0
	1840	1232	3914	1530	1572	1975
	130	146	397	202	167	222
	277	230	637	275	273	418
	12	8	9	7	10	20
	357	251	744	305	339	470
	108	55	172	75	81	131
	0	0	1	8	1	4
	738	395	1358	544	657	762
	27	17	28	18	21	12
	517	358	1139	401	397	630
	1049	866	2555	926	1115	1358
	157	124	418	192	140	238
	513	491	1799	663	541	738
	256	174	594	242	298	375
	0	0	1	0	0	0
	359	163	522	217	270	319
	12	11	46	11	9	20
	287	172	508	154	223	292
	274	181	569	170	202	284
	0	1	0	1	1	0
	827	851	2692	1078	886	1344
	147	59	237	104	133	156
	0	0	0	0	0	0
	0	0	0	0	0	0
	243	210	695	229	227	256
	357	304	889	376	375	497
	113	98	295	97	82	125
	396	319	976	388	334	555
	7486	7295	20663	8479	6953	11155
	10	4	12	4	6	7
	4	2	10	0	6	1
	0	0	0	0	0	0
	579	478	1510	638	552	894
	763	529	1669	633	633	850
	39	26	75	23	25	46
	20	12	46	28	16	24
	1319	1336	3642	1495	1370	2065
	114	94	354	157	144	244
	1204	852	2578	948	1118	1290
	301	232	664	242	239	329
	0	3	2	2	2	2
	75	57	154	80	104	105
	353	268	953	379	297	519
	1	4	3	1	2	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	27	19	56	35	25	39
	0	0	0	0	0	0
	288	186	538	210	232	281
	52	43	122	57	76	80
	0	0	0	0	0	0
	622	665	2019	689	629	1158
	142	102	275	125	121	165
	8	3	16	12	17	10
	173	153	433	159	195	231
	0	0	0	0	0	0
	7	10	11	4	5	6
	523	432	1346	494	450	686
	488	510	1397	594	462	806
	86	83	223	80	58	116
	153	178	465	178	169	249
	14	6	22	13	24	29
	0	0	0	0	0	0
	124	98	314	109	85	140
	34	27	86	31	32	55
	0	5	6	1	3	6
	3925	4344	11992	4150	3374	6186
	261	248	746	198	267	276
	1107	1153	3580	1369	1213	1963
	0	0	0	0	0	0
	870	678	2044	738	697	1019
	794	494	2017	675	588	963
	3999	3981	11630	4768	3998	6323
	485	339	1016	515	638	836
	0	0	0	0	0	0
	211	148	531	157	233	279
	1197	798	2632	922	1100	1485
	227	264	646	314	255	396
	1	0	1	0	0	0
	159	121	396	127	164	210
	531	462	1241	482	428	871
	158	203	482	216	176	307
	110	76	226	70	80	125
	979	882	2847	942	760	1497
	190	192	620	200	196	382
	1279	1405	3847	1627	1366	2414
	95	84	224	135	123	216
	0	0	0	0	0	0
	6	5	14	7	10	8
	1525	1676	4824	1780	1560	2592
	1732	2079	5900	1721	1520	2666
	5	0	10	4	3	3
	998	898	2542	1095	1046	1396
	29550	25434	77130	28567	23784	37550
	0	1	0	0	0	4
	1	1	2	0	0	0
	0	0	0	0	0	0
	9	12	24	18	19	21
	108	43	153	56	63	95
	4	2	3	1	2	6
	370	342	997	434	427	620
	591	559	1633	678	692	1030
	23	17	53	13	16	31
	73	55	148	63	64	82
	347	314	944	317	262	479
	7746	6743	19880	8324	7861	11675
	307	276	960	409	344	585
	251	319	935	375	297	556
	378	398	1212	393	351	629
	11	13	29	4	5	21
	798	872	2300	1043	960	1512
	1152	1249	3612	1414	1241	2051
	2659	2946	8597	3237	2446	3899
	0	0	0	1	0	0
	840	745	2146	939	711	1277
	446	299	923	358	415	563
	299	211	705	306	343	426
	2	3	1	0	0	0
	1735	2070	5865	2368	1940	3578
	0	0	3	1	0	1
	394	325	1167	336	318	458
	920	993	2997	1153	933	1506
	1318	1262	4177	1444	1243	1994
	0	0	0	0	0	0
	0	0	0	0	0	0
	166	175	505	175	188	250
	938	581	1825	753	716	1150
	421	357	1052	410	431	580
	108	84	313	114	80	142
	112	81	219	100	93	134
	0	0	1	1	0	0
	689	460	1569	600	715	907
	232	221	645	264	233	383
	212	206	553	197	184	315
	6	7	12	4	7	3
	0	0	6	0	1	0
	0	0	0	0	0	0
	534	392	1210	512	515	694
	2614	2022	6241	2445	2258	3490
	2861	2477	7177	2974	2513	4102
	120	110	323	117	131	156
	0	0	0	0	0	0
	0	2	0	0	0	0
	0	0	0	0	0	0
	1575	1595	4519	1828	1679	2676
	0	0	0	0	0	0
	0	0	0	0	0	0
	1911	1797	4586	2125	2051	3004
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
