	condition	type	ncase	organ	replicate
NegControl1	control	paired-end	0	lung	sample1
NegControl2	control	paired-end	0	lung	sample2
NegControl3	control	paired-end	0	lung	sample3
NegControl4	control	paired-end	0	lung	sample4
NegControl5	control	paired-end	0	lung	sample5
case1-lung1	case	paired-end	1	lung	sample6
case1-lung2	case	paired-end	1	lung	sample6
case1-lung3	case	paired-end	1	lung	sample6
case1-lung4	case	paired-end	1	lung	sample6
case2-lung1	case	paired-end	2	lung	sample7
case2-lung2	case	paired-end	2	lung	sample7
case2-lung3	case	paired-end	2	lung	sample7
case3-lung1	case	paired-end	3	lung	sample8
case3-lung2	case	paired-end	3	lung	sample8
case4-lung1	case	paired-end	4	lung	sample9
case4-lung2	case	paired-end	4	lung	sample9
case5-lung1	case	paired-end	5	lung	sample10
case5-lung2	case	paired-end	5	lung	sample10
case5-lung3	case	paired-end	5	lung	sample10
case5-lung4	case	paired-end	5	lung	sample10
case5-lung5	case	paired-end	5	lung	sample10
