	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
NAME	NegControl1	NegControl2	NegControl3	NegControl4	NegControl5	case1.lung1	case1.lung2	case1.lung3	case1.lung4	case2.lung1	case2.lung2	case2.lung3	case3.lung1	case3.lung2	case4.lung1	case4.lung2	case5.lung1	case5.lung2	case5.lung3	case5.lung4	case5.lung5
CLASS_CvsI	Control	Control	Control	Control	Control	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected	Infected
CLASS_TechRep	0	0	0	0	0	1	1	1	1	2	2	2	3	3	4	4	5	5	5	5	5
5S_rRNA	6	112	18	57	32	94	10	14	18	8	17	6	41	52	100	2	41	30	24	15	24
5_8S_rRNA	5	58	6	18	5	12	0	2	5	3	4	8	28	16	8	0	22	7	13	8	8
7SK	0	0	7	4	1	5	0	0	1	0	1	0	9	1	3	0	2	0	1	0	0
A1BG	0	0	1	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	3	1	1
A1BG-AS1	6	3	5	6	0	2	2	1	4	1	2	5	5	4	0	0	8	0	5	2	1
A1CF	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
A2M	10823	2698	6075	7223	2289	19864	2910	3428	1115	4809	3632	4076	11856	3108	1804	8	4492	92	7614	4898	7998
A2M-AS1	1	2	5	1	5	21	1	0	2	1	2	4	7	3	1	0	1	1	3	1	1
A2ML1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	4	1	0	0	5
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
A3GALT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	60	2	90	25	2	105	10	12	3	21	2	10	20	12	5	0	18	1	42	31	50
A4GNT	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	72	6	29	15	20	111	14	4	7	14	40	47	103	24	17	0	29	7	62	37	93
AACS	65	6	52	65	7	137	17	15	4	28	24	26	116	26	15	0	21	3	50	32	49
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	1	0	10	0	0	0	0	0	0	6	0	1	0	12	0	5	1	5
AADACL2	0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
AADAT	12	6	3	8	1	20	1	0	0	6	4	5	13	6	0	0	2	0	13	2	8
AAED1	38	23	32	24	13	46	11	13	0	9	2	15	39	2	3	3	16	1	46	27	17
AAGAB	88	31	78	57	27	252	36	39	9	31	31	49	146	34	9	0	41	0	91	22	80
AAK1	403	100	465	356	129	962	226	155	35	160	151	207	721	150	56	2	197	10	395	192	439
AAMDC	11	1	10	5	9	33	4	3	0	4	4	4	28	5	2	0	0	0	17	6	17
AAMP	107	25	87	73	23	272	61	33	7	73	38	96	244	57	70	1	45	7	111	77	116
AANAT	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
AAR2	51	4	17	38	3	49	24	9	1	9	14	15	54	8	12	0	16	0	18	17	48
AARD	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
AARS	492	23	147	309	88	1607	245	252	62	138	100	132	450	122	63	0	176	4	297	146	342
AARS2	57	4	26	18	0	66	8	3	4	4	24	7	40	8	9	0	19	1	28	19	38
AARSD1	8	1	6	12	1	15	3	4	0	2	4	13	6	5	4	0	6	1	18	10	12
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	27	2	18	22	8	51	10	13	3	5	13	10	37	15	1	0	5	0	19	9	25
AASDHPPT	15	10	26	27	12	129	8	16	3	30	28	41	120	29	4	0	16	3	47	19	59
AASS	97	4	57	33	17	116	30	49	0	33	23	35	77	29	3	0	31	2	43	21	62
AATBC	14	3	11	3	0	27	4	4	0	3	1	1	29	5	6	0	3	0	6	0	8
AATF	239	32	173	141	39	581	85	110	13	96	80	113	334	94	47	1	127	9	218	118	231
AATK	27	3	10	20	3	45	14	4	1	3	6	22	55	11	32	2	15	2	10	4	28
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	0	0	0	0	4	2	1	0	1	1	1	0	11	1	2	0	0	1	0	8	1
ABALON	7	0	8	8	0	11	1	0	0	0	0	0	8	1	2	0	1	0	3	2	0
ABAT	24	2	5	14	3	42	6	2	1	4	13	7	67	12	6	0	1	1	14	2	9
ABBA01017803.1	1	1	0	1	0	2	2	0	0	0	1	0	1	0	0	0	1	0	1	1	1
ABBA01037345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01037346.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01037349.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC14-1080714F14.1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ABC14-864958H18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC14-864958H18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42418200C9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABC7-43041300I9.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-43046200P7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC9-43961700F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
