#NAME	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
#CLASS_CvsI	Infected	Infected	Infected	Infected	Infected	Control	Control	Control	Control	Control
5S_rRNA	136	31	93	102	134	6	112	18	57	32
5_8S_rRNA	19	15	44	8	58	5	58	6	18	5
7SK	6	1	10	3	3	0	0	7	4	1
A1BG	3	2	1	0	5	0	0	1	1	0
A1BG-AS1	9	8	9	0	16	6	3	5	6	0
A1CF	2	0	0	1	0	0	0	0	1	0
A2M	27317	12517	14964	1812	25094	10823	2698	6075	7223	2289
A2M-AS1	24	7	10	1	7	1	2	5	1	5
A2ML1	0	4	1	0	10	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	2	0	1	0	0	0	0	0
A3GALT2	0	0	0	0	0	1	0	0	0	0
A4GALT	130	33	32	5	142	60	2	90	25	2
A4GNT	0	0	0	0	1	0	1	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	136	101	127	17	228	72	6	29	15	20
AACS	173	78	142	15	155	65	6	52	65	7
AACSP1	0	0	0	0	0	0	0	0	0	0
AADAC	10	0	6	1	23	0	0	0	1	0
AADACL2	2	0	0	0	1	0	2	6	0	0
AADACL2-AS1	0	0	0	0	1	0	0	0	0	0
AADACL3	0	0	0	0	1	0	0	0	0	0
AADACL4	0	1	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	3	0	0	0	1	0
AADAT	21	15	19	0	25	12	6	3	8	1
AAED1	70	26	41	6	107	38	23	32	24	13
AAGAB	336	111	180	9	234	88	31	78	57	27
AAK1	1378	518	871	58	1233	403	100	465	356	129
AAMDC	40	12	33	2	40	11	1	10	5	9
AAMP	373	207	301	71	356	107	25	87	73	23
AANAT	0	1	1	0	1	0	0	0	1	0
AAR2	83	38	62	12	99	51	4	17	38	3
AARD	1	0	2	0	0	0	0	0	0	0
AARS	2166	370	572	63	965	492	23	147	309	88
AARS2	81	35	48	9	105	57	4	26	18	0
AARSD1	22	19	11	4	47	8	1	6	12	1
AARSP1	0	0	0	0	0	0	0	0	0	0
AASDH	77	28	52	1	58	27	2	18	22	8
AASDHPPT	156	99	149	4	144	15	10	26	27	12
AASS	195	91	106	3	159	97	4	57	33	17
AATBC	35	5	34	6	17	14	3	11	3	0
AATF	789	289	428	48	703	239	32	173	141	39
AATK	64	31	66	34	59	27	3	10	20	3
AATK-AS1	0	0	0	0	0	0	0	0	0	0
AB015752.3	1	0	0	0	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0
AB019441.29	4	2	12	2	10	0	0	0	0	4
ABALON	12	0	9	2	6	7	0	8	8	0
ABAT	51	24	79	6	27	24	2	5	14	3
ABBA01017803.1	4	1	1	0	4	1	1	0	1	0
ABBA01037345.1	0	0	0	0	0	0	0	0	0	0
ABBA01037346.1	0	0	0	0	0	0	0	0	0	0
ABBA01037349.1	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.1	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.2	0	0	0	0	0	0	0	0	0	0
ABC14-1080714F14.1	0	4	0	0	0	0	0	0	0	0
ABC14-864958H18.1	0	0	0	0	0	0	0	0	0	0
ABC14-864958H18.2	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.2	0	0	0	0	0	0	0	0	0	0
ABC7-42418200C9.1	0	0	0	0	1	0	0	0	0	0
ABC7-43041300I9.1	1	0	0	0	0	0	0	0	0	0
ABC7-43046200P7.1	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.1	1	0	0	0	0	0	0	0	0	0
ABC9-43961700F1.1	0	0	0	0	0	0	0	0	0	0
ABCA1	973	1130	1059	92	974	368	310	296	636	103
ABCA10	105	37	83	6	217	32	1	16	9	7
ABCA11P	1	1	2	0	5	0	0	3	1	0
ABCA12	0	11	2	0	19	2	1	0	3	2
ABCA13	32	86	302	2	185	53	3	86	38	1
ABCA17P	1	1	5	1	4	0	0	0	0	0
ABCA2	166	125	195	40	236	119	9	67	32	3
ABCA3	930	790	1590	234	1155	602	186	199	376	91
ABCA4	5	2	0	1	1	2	0	1	0	0
ABCA5	114	62	138	3	322	54	10	100	107	29
ABCA6	890	159	332	33	1078	278	10	172	86	67
ABCA7	165	131	196	56	293	98	1	87	57	6
ABCA8	578	87	221	17	595	255	5	71	39	52
ABCA9	395	46	136	11	441	84	2	52	30	23
ABCA9-AS1	7	1	4	1	9	3	1	0	0	0
ABCB1	96	14	8	0	32	5	0	11	1	2
ABCB10	66	35	70	6	81	30	10	27	26	2
ABCB10P1	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0
ABCB11	0	1	0	1	4	0	0	0	0	0
ABCB4	1	1	4	1	16	0	0	0	0	0
ABCB5	1	0	0	1	4	0	4	0	0	0
ABCB6	20	7	7	1	19	26	1	7	11	1
ABCB7	172	79	91	6	160	26	6	30	24	6
ABCB8	107	59	81	10	84	98	7	19	34	3
ABCB9	10	17	16	6	22	8	3	6	6	0
ABCC1	587	347	427	46	598	246	34	112	141	75
ABCC10	80	108	125	24	156	99	2	21	52	0
ABCC11	2	1	1	2	1	1	0	0	0	0
ABCC12	0	1	0	0	1	0	0	0	0	0
ABCC13	6	2	7	0	8	1	3	0	6	0
ABCC2	31	3	5	3	3	4	0	1	6	0
ABCC3	137	309	375	127	537	249	19	59	175	28
ABCC4	265	80	147	6	203	80	35	78	57	25
ABCC5	384	209	347	43	412	191	13	42	64	21
ABCC5-AS1	1	0	0	0	0	0	0	1	0	0
ABCC6	25	30	87	3	54	21	12	17	47	0
ABCC6P1	3	2	22	1	2	2	2	0	2	0
ABCC6P2	4	0	0	0	1	0	0	0	1	0
ABCC8	11	5	2	12	29	7	5	4	2	6
ABCC9	344	112	222	11	439	76	21	104	84	37
ABCD1	57	64	95	23	103	25	6	16	11	0
ABCD1P2	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0
ABCD2	6	11	17	1	13	0	1	1	1	1
ABCD3	174	131	181	13	254	96	30	68	91	8
ABCD4	251	145	124	23	250	117	6	53	80	22
ABCE1	280	191	219	18	300	155	38	90	143	47
ABCF1	1116	374	575	38	880	276	45	229	249	89
ABCF2	303	175	153	10	239	138	11	63	143	11
ABCF2P1	0	0	1	1	2	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0
ABCF3	213	104	167	25	205	94	4	43	81	5
ABCG1	285	184	208	28	259	98	28	161	116	9
ABCG2	19	5	15	0	33	4	0	6	2	1
ABCG4	0	1	1	1	3	1	0	0	1	0
ABCG5	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	1	0	0	0
ABHD1	2	3	2	1	3	0	2	0	0	0
ABHD10	150	85	107	4	205	50	8	15	30	15
ABHD11	25	10	27	6	38	18	0	8	12	2
ABHD11-AS1	1	1	1	1	2	0	0	0	0	0
ABHD12	120	72	128	23	129	56	12	26	36	25
ABHD12B	8	2	3	3	3	0	1	2	0	0
ABHD13	272	93	130	11	173	33	14	67	55	21
ABHD14A	14	9	10	0	16	9	1	3	1	2
ABHD14A-ACY1	0	0	0	0	0	0	0	1	0	0
ABHD14B	122	71	157	13	158	46	38	15	27	35
ABHD15	50	25	53	6	60	5	4	26	20	0
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0
ABHD16A	40	13	16	0	27	8	0	12	5	1
ABHD16B	0	0	0	0	0	0	0	0	0	0
ABHD17A	189	55	132	21	146	125	11	62	35	7
ABHD17AP1	3	0	1	0	0	0	0	0	0	0
ABHD17AP3	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	1	0	2	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0
ABHD17B	37	17	26	3	40	9	2	8	8	2
ABHD17C	72	62	57	3	96	26	11	28	42	9
ABHD2	846	599	851	83	901	328	141	312	383	93
ABHD3	523	140	149	7	195	49	5	43	42	17
ABHD4	345	86	138	12	181	56	12	19	61	27
ABHD5	171	92	71	6	161	51	4	52	49	12
ABHD6	61	44	35	3	49	10	1	9	7	8
ABHD8	51	12	18	10	25	32	1	5	6	1
ABI1	449	188	356	21	472	102	37	97	121	34
ABI2	519	159	262	24	326	126	24	200	149	19
ABI3	196	46	148	17	177	19	3	42	5	6
ABI3BP	2807	437	863	23	1874	594	90	487	183	176
ABL1	528	198	339	43	449	245	14	127	183	24
ABL2	814	261	242	25	366	177	57	128	300	60
ABLIM1	1574	565	748	103	1258	359	102	261	307	100
ABLIM2	30	16	2	8	28	17	1	15	9	3
ABLIM3	390	210	189	16	558	294	29	64	231	36
ABO	540	312	631	1	175	77	64	59	99	27
ABR	673	570	771	143	1075	460	49	326	221	60
ABRA	3	1	1	0	2	1	0	0	1	0
ABRACL	188	118	160	1	149	9	26	33	22	43
ABT1	56	31	43	5	55	13	5	17	12	5
ABT1P1	0	0	1	0	0	0	0	0	0	0
ABTB1	157	108	108	40	173	53	2	38	22	5
ABTB2	38	11	17	9	49	18	0	5	22	1
AC000003.1	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0
