	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
5_8S_rRNA	70.6933061070793	91.1430397141436	184.23429833676	260.831820874762	190.011221629397	59.3488964783267	1293.18504141279	92.9139392355967	284.492323580942	134.547380699477
5S_rRNA	884.072609706923	329.092722707314	680.338568779633	5810.25366500332	766.973555716915	124.428031237319	4362.89776952267	486.997198752093	1573.97285536736	1504.45622924656
7SK	13.9068798899172	3.78517541982236	26.083842536501	60.9320237289403	6.12246446177253	0	0	67.5276170400785	39.3832724811505	16.7632802182954
A1BG	0.424265903118255	0.461906877937812	0.159151227279476	0	0.622606205164832	0	0	0.588602099016867	0.600745091610447	0
A1BG-AS1	1.50857084757253	2.18988216345383	1.69769170747351	0	2.3614010332701	3.20842878412768	3.01336988167239	3.48817396853653	4.27216293067607	0
A1CF	0.117785368917346	0	0	0.516068374114389	0	0	0	0	0.250169699192979	0
A2M	2419.96120667555	1810.85306047926	1491.81928588272	1406.6287482889	1957.36518701481	3058.72907897585	1432.27144570268	2239.88960657242	2718.10589050945	1466.56644962429
A2M-AS1	4.60417733126161	2.1930392188116	2.15890691279045	1.68107347239501	1.1824026798629	0.612010330034305	2.29921076000964	3.99223167226671	0.814918460430861	6.93731406591602
A2ML1	0	0.516256457482759	0.0889387587885165	0	0.695864229864215	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0.273328648439177	0	0.106927301458199	0	0	0	0	0
A3GALT2	0	0	0	0	0	1.76364267149671	0	0	0	0
A4GALT	21.8942937317935	9.07630508648291	6.06499828841572	7.37910154350875	21.057290914383	32.2371611603537	2.01848520563086	63.0862958478739	17.8854945008203	2.43611695846581
A4GNT	0	0	0	0	0.279910310787427	0	1.90502341779326	0	0	2.29917952403827
AAAS	16.2712750252808	19.7338402889998	17.0993465733254	17.8228640030777	24.0184008840935	27.4810375738865	4.30171778327169	14.4406122329353	7.62337514708117	17.3058615327442
AACS	6.10010197968687	4.49151808654275	5.63472146770177	4.63476955853277	4.81226190211853	7.31176628475425	1.26779848877893	7.6313130049479	9.73593586805671	1.78512891158106
AACSP1	0	0	0	0	0	0	0	0	0	0
AADAC	3.46535814250389	0	2.339874109892	3.03664497341941	7.01782486917227	0	0	0	1.47204633661163	0
AADACL2	0.223051251767555	0	0	0	0.0981976815008544	0	1.33663445484292	2.78503623817998	0	0
AADACL2-AS1	0	0	0	0	0.784189673843831	0	0	0	0	0
AADACL3	0	0	0	0	0.122801588875668	0	0	0	0	0
AADACL4	0	0.58640177932486	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0.742485749837225	0	0	0	1.19402565673468	0
AADAT	3.99881327474388	4.66455960826594	4.07153851849221	0	4.1915862196198	7.28972304218639	6.84653870758428	2.37759575148328	6.47105621912506	1.37718531086333
AAGAB	45.9216062870539	24.7746957637672	27.6849290527579	10.778695352727	28.1591937255812	38.3688177522522	25.3891098279074	44.3687636369113	33.0922277469696	26.688373629321
AAK1	31.3699233798029	19.257573226349	22.3139015063693	11.5701270621096	24.7146168371129	29.2676086034406	13.641817253368	44.0577307167141	34.4260816004775	21.239021380311
AAMDC	11.6427472744546	5.70406259868238	10.8094235771439	5.10118846795726	10.2513729879739	10.2142413702277	1.74422885242111	12.1143581779128	6.18214004464791	18.9460439317431
AAMP	67.1811545934792	60.8858726447094	61.0096092755025	112.058002025495	56.4566616780689	61.4809205301595	26.982775957438	65.2173000239666	55.8515007511347	29.9603594219981
AANAT	0	0.421727307048701	0.29061450131992	0	0.227379197667047	0	0	0	1.09697699605031	0
AAR2	15.1371671251534	11.3176867115746	12.7248103802705	19.1775734148487	15.8974794731353	29.672534376007	4.3715403550522	12.9038814890241	29.4390279301215	3.95702067713391
AARD	0.235252266579299	0	0.52948898327007	0	0	0	0	0	0	0
AARS	272.33739622576	75.9727961097293	80.9352986912933	69.4121141812117	106.832331567286	197.347615572929	17.3294449057019	76.9256357744247	165.03675033286	80.0224884053445
AARS2	8.73889018645315	6.16661543023329	5.82781312070774	8.50863055505233	9.97440795565384	19.6184219415575	2.58606383842367	11.6748024882067	8.24930049299947	0
AARSD1	3.35907718003401	4.73760076843856	1.89009269351967	5.35184081708475	6.31861253128216	3.89677419641713	0.914966700932564	3.81288303558604	7.78308732618848	1.10427655865661
AARSP1	0	0	0	0	0	0	0	0	0	0
AASDH	9.35691374343809	5.55657895750458	7.11112578648742	1.06484843073066	6.20578119631893	10.4670335688463	1.45639736151879	9.10372932776796	11.3563282487546	7.03092457802164
AASDHPPT	14.6968592406522	15.2315004899598	15.7971710687495	3.30221862176943	11.9450780903348	4.50826200135215	5.64557164793306	10.1947883796734	10.8053056432542	8.17639255025305
AASS	16.5488531703247	12.6119500332737	10.123536965247	2.23100447026732	11.881109006549	26.2617085737229	2.0342356904287	20.1332125234396	11.8965377407797	10.43428666649
AATBC	4.06116653877353	0.947458763271086	4.43971189336915	6.10070323753034	1.73683371545838	5.18237389026997	2.08598891685733	5.31227282184098	1.47869078047816	0
AATF	96.2710136241391	57.5869320181647	58.7699642669228	51.3222482497914	75.5266863758911	93.0324363005243	23.3978798550453	87.855625535392	73.0820985135653	34.4162620404098
AATK	2.74682953076001	2.17280616798485	3.18778326028544	12.787232016779	2.22961722171656	3.69686379520456	0.771580024342616	1.78630932228007	3.64632256408921	0.93122266978768
ABALON	3.56624140109281	0	3.00999044719686	5.20841260811401	1.57002767070152	6.63659756730842	0	9.8951961911443	10.0993362957443	0
ABAT	2.96951188012852	2.28209484798515	5.17648665431476	3.06134331099793	1.38422031895938	4.45804127155226	0.697835202358533	1.21168526406283	3.4627112837334	1.26332967361189
ABCA1	48.8526895185996	92.6534594063761	59.8362977278206	40.477097202511	43.0587243763912	58.944244911429	93.2707177449225	61.8546394721823	135.645724358906	37.4018784131925
ABCA10	7.06512517905373	4.06574225938801	6.2849491855945	3.53775461983615	12.856325533291	6.86907870245285	0.403216735306867	4.48079913188521	2.57244694731132	3.40650596226634
ABCA11P	0.202704820378722	0.331033262522099	0.456233518201164	0	0.892402227402926	0	0	2.53098902577253	0.861067964641641	0
ABCA12	0	1.05673089523645	0.132399783210032	0	0.984111547215084	0.375328989586256	0.352510574189122	0	0.749650391517634	0.850892526162697
ABCA13	0.948754199916765	4.16399061649029	10.0763627199459	0.519612539619447	4.82949839763062	5.01299827029515	0.533007076317832	10.6122412729377	4.7858676598326	0.2144293773664
ABCA17P	0.086027753096537	0.140490234626811	0.484062791215869	0.753849193279659	0.302987796100294	0	0	0	0	0
ABCA2	8.15857395587046	10.0328365607527	10.7853413390694	17.2270951477204	10.2127978206515	18.6582573998431	2.65067610517841	13.7052164939503	6.68081584107115	1.06637013294449
ABCA3	67.3959760938839	93.4944149058121	129.670522174025	148.597933829984	73.6986560147247	139.176356313501	80.7740669922199	60.0218015120094	115.74765987028	47.6950120408806
ABCA4	0.330845003426135	0.216118591888769	0	0.579829717634314	0.0582614300796575	0.422184732172957	0	0.2753971912915	0	0
ABCA5	4.89985523405201	4.35188734998272	6.6749897088392	1.1299144087142	12.1859904705007	7.40440404763802	2.57564725661515	17.8888873230616	19.5359947928613	9.01481766413273
ABCA6	35.5513730387346	10.3722040957358	14.9244237618087	11.5511761328207	37.915055617765	35.4265711200476	2.39372556876269	28.5956352989528	14.5927848167902	19.3562724260979
ABCA7	11.1527625267533	14.4603020340865	14.9089719787932	33.1690041126744	17.4378402972408	21.132094225915	0.405048005289138	24.4749996504428	16.3661573344042	2.93312325081684
ABCA8	29.0668546540223	7.14491408607407	12.5070702911104	7.49143501178625	26.3459419811529	40.9098920060456	1.50677425762681	14.8605019893082	8.33121156256953	18.9127244717884
ABCA9	24.7551914116102	4.70797971100245	9.59182436537288	6.04098521307904	24.3351679205294	16.7944749608882	0.751116281084711	13.5636778907756	7.98663437948863	10.4250364123531
ABCA9-AS1	1.32402178662088	0.308890569376808	0.851432452027591	1.6574597313112	1.49887758729682	1.81024058823525	1.1334570770081	0	0	0
ABCB1	9.35109526183894	2.22703397073944	0.876949029129348	0	2.74452879306005	1.5537430700492	0	4.4595276840601	0.413775339536717	1.40897015958115
ABCB10	8.7455636421129	7.57389833300912	10.4384262072033	6.96692305054425	9.45051449722527	12.6818635398861	7.94057324333228	14.8906125672793	14.6349274027893	1.91670120584072
ABCB10P1	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0.119712612111038	0	0.642359636632596	0.258177805776193	0	0	0	0	0
ABCB4	0.0731909471795826	0.119526698904705	0.329465902881131	0.641362054693992	1.03110742671843	0	0	0	0	0
ABCB5	0.0610939233938246	0	0	0.535357523670787	0.215171413153649	0	1.46442115599188	0	0	0
ABCB6	2.1730891406595	1.24209022421836	0.8559308943774	0.95212384180989	1.81772303841034	9.01236652765982	0.651111750288995	3.16555976134085	5.07707508834812	0.785829082279363
ABCB7	18.1345990311971	13.6023567100104	10.7972714332675	5.54340558906094	14.8534062010688	8.74522143483769	3.79086874748794	13.1645402347229	10.7489021089493	4.57521294548556
ABCB8	6.48173415034917	5.83669508823507	5.52186229532354	5.30827398952493	4.48036388205119	18.938756682544	2.54105148048195	4.79033591317487	8.74902604176372	1.31434459295118
ABCB9	0.425510833538962	1.18131876017028	0.766167491253479	2.23721522682438	0.824251730012664	1.08597183233233	0.764962002916459	1.06259263891436	1.08451416207216	0
ABCC1	43.8251835615636	42.308017484557	35.8762163193791	30.0946549761772	39.3109366136921	58.5920511450189	15.2115176829892	34.8023520692365	44.7175612686964	40.4974294382583
ABCC10	5.59462296383464	12.3342330484925	9.83748234652257	14.7074700530347	9.60576593186223	22.0868602499285	0.838144345308326	6.1123056353824	15.4474762347235	0
ABCC11	0.156120482776159	0.127478647679317	0.087846205367926	1.36806200044734	0.0687316001229583	0.249027805788976	0	0	0	0
ABCC12	0	0.106171146388856	0	0	0.0572434122187415	0	0	0	0	0
ABCC13	0.316478147093808	0.17227808290182	0.415512059805481	0	0.371542953098924	0.168271446832786	0.948247526651991	0	1.3443646454114	0
ABCC2	2.23707284860989	0.353547072516265	0.406051906271931	1.89707972309065	0.190619028795776	0.920865868542111	0	0.30034704529392	1.83925963099414	0
ABCC3	8.05822813243463	29.6814441968722	24.8223774528325	65.458885467582	27.8112072628577	46.7235992493335	6.69700432083517	14.4436160004304	43.7250581108977	11.9112564172017
ABCC4	17.3681549364942	8.5625940659326	10.8422211623504	3.44591813416652	11.7146795580993	16.7269111409538	13.7462374677132	21.2768506118367	15.8692361127547	11.85027341889
ABCC5	19.108652561456	16.9844967628034	19.4321758018519	18.7505145318681	18.0518875909391	30.3214634854163	3.87659274820104	8.69867411761328	13.5285785980124	7.55785726692
ABCC5-AS1	1.20585596771137	0	0	0	0	0	0	5.01880553084957	0	0
ABCC6	1.86796951002984	3.66065320030382	7.31546848150143	1.96425073191458	3.55263098376337	5.0057253946048	5.37302680975698	5.28668734277496	14.9176697322577	0
ABCC6P1	0.494502869883388	0.538375285594086	4.08096959300313	1.44441987660171	0.290271316170698	1.05170880381296	1.97553871189404	0	1.40039616517061	0
ABCC6P2	2.10045106353439	0	0	0	0.462358814197616	0	0	0	2.23062174684325	0
ABCC8	0.494201695060612	0.366850493500419	0.101119440402069	4.72431324749331	1.14719199585591	1.0032924349053	1.34613785361226	0.747956718769765	0.381693616356876	1.94959026371024
ABCC9	16.7482763779857	8.90506834305315	12.1634778109262	4.69299677710273	18.8192694928612	11.8043810626314	6.1268741275257	21.0741441608745	17.3725799064579	13.0284860374286
ABCD1	7.60645294592453	13.9474514761552	14.2667170834378	26.8955888915222	12.1023892443973	10.6430300433054	4.79806983518766	8.88653060488325	6.23552992799716	0
ABCD1P2	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0
