NegControl1	NegControl2	NegControl3	NegControl4	NegControl5	case1.lung1	case1.lung2	case1.lung3	case1.lung4	case2.lung1	case2.lung2	case2.lung3	case3.lung1	case3.lung2	case4.lung1	case4.lung2	case5.lung1	case5.lung2	case5.lung3	case5.lung4	case5.lung5	ENTREZID	ENSEMBL	HGNC_SYMBOL
6	112	18	57	32	94	10	14	18	8	17	6	41	52	100	2	41	30	24	15	24	NA	NA	5S_rRNA
5	58	6	18	5	12	0	2	5	3	4	8	28	16	8	0	22	7	13	8	8	NA	NA	5_8S_rRNA
0	0	7	4	1	5	0	0	1	0	1	0	9	1	3	0	2	0	1	0	0	125050	ENSG00000283293	7SK
0	0	1	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	3	1	1	1	ENSG00000121410	A1BG
6	3	5	6	0	2	2	1	4	1	2	5	5	4	0	0	8	0	5	2	1	503538	ENSG00000268895	A1BG-AS1
0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	29974	ENSG00000148584	A1CF
10823	2698	6075	7223	2289	19864	2910	3428	1115	4809	3632	4076	11856	3108	1804	8	4492	92	7614	4898	7998	2	ENSG00000175899	A2M
1	2	5	1	5	21	1	0	2	1	2	4	7	3	1	0	1	1	3	1	1	144571	ENSG00000245105	A2M-AS1
0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	4	1	0	0	5	144568	ENSG00000166535	A2ML1
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	ENSG00000256069	A2MP1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127550	ENSG00000184389	A3GALT2
60	2	90	25	2	105	10	12	3	21	2	10	20	12	5	0	18	1	42	31	50	53947	ENSG00000128274	A4GALT
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	51146	ENSG00000118017	A4GNT
72	6	29	15	20	111	14	4	7	14	40	47	103	24	17	0	29	7	62	37	93	8086	ENSG00000094914	AAAS
65	6	52	65	7	137	17	15	4	28	24	26	116	26	15	0	21	3	50	32	49	65985	ENSG00000081760	AACS
0	0	0	1	0	10	0	0	0	0	0	0	6	0	1	0	12	0	5	1	5	13	ENSG00000114771	AADAC
0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	344752	ENSG00000197953	AADACL2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	101928142	ENSG00000242908	AADACL2-AS1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	126767	ENSG00000188984	AADACL3
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	343066	ENSG00000204518	AADACL4
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	201651	ENSG00000240602	AADACP1
12	6	3	8	1	20	1	0	0	6	4	5	13	6	0	0	2	0	13	2	8	51166	ENSG00000109576	AADAT
38	23	32	24	13	46	11	13	0	9	2	15	39	2	3	3	16	1	46	27	17	195827	ENSG00000158122	AAED1
88	31	78	57	27	252	36	39	9	31	31	49	146	34	9	0	41	0	91	22	80	79719	ENSG00000103591	AAGAB
403	100	465	356	129	962	226	155	35	160	151	207	721	150	56	2	197	10	395	192	439	22848	ENSG00000115977	AAK1
11	1	10	5	9	33	4	3	0	4	4	4	28	5	2	0	0	0	17	6	17	28971	ENSG00000087884	AAMDC
107	25	87	73	23	272	61	33	7	73	38	96	244	57	70	1	45	7	111	77	116	14	ENSG00000127837	AAMP
0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	15	ENSG00000129673	AANAT
51	4	17	38	3	49	24	9	1	9	14	15	54	8	12	0	16	0	18	17	48	25980	ENSG00000131043	AAR2
0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	441376	ENSG00000205002	AARD
492	23	147	309	88	1607	245	252	62	138	100	132	450	122	63	0	176	4	297	146	342	16	ENSG00000090861	AARS
57	4	26	18	0	66	8	3	4	4	24	7	40	8	9	0	19	1	28	19	38	57505	ENSG00000124608	AARS2
8	1	6	12	1	15	3	4	0	2	4	13	6	5	4	0	6	1	18	10	12	80755	ENSG00000266967	AARSD1
27	2	18	22	8	51	10	13	3	5	13	10	37	15	1	0	5	0	19	9	25	132949	ENSG00000157426	AASDH
15	10	26	27	12	129	8	16	3	30	28	41	120	29	4	0	16	3	47	19	59	60496	ENSG00000149313	AASDHPPT
97	4	57	33	17	116	30	49	0	33	23	35	77	29	3	0	31	2	43	21	62	10157	ENSG00000008311	AASS
14	3	11	3	0	27	4	4	0	3	1	1	29	5	6	0	3	0	6	0	8	284837	ENSG00000215458	AATBC
239	32	173	141	39	581	85	110	13	96	80	113	334	94	47	1	127	9	218	118	231	26574	ENSG00000275700	AATF
27	3	10	20	3	45	14	4	1	3	6	22	55	11	32	2	15	2	10	4	28	9625	ENSG00000181409	AATK
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ENSG00000254180	AB015752.3
0	0	0	0	4	2	1	0	1	1	1	0	11	1	2	0	0	1	0	8	1	192133	ENSG00000225200	AB019441.29
7	0	8	8	0	11	1	0	0	0	0	0	8	1	2	0	1	0	3	2	0	103021294	ENSG00000281376	ABALON
24	2	5	14	3	42	6	2	1	4	13	7	67	12	6	0	1	1	14	2	9	18	ENSG00000183044	ABAT
